"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/crfm/backend/services/auth.service.js", "JavaScript", 0, 0, 0, 1, 1
"/Users/loucadaviot/Desktop/crfm/backend/services/missions.service.js", "JavaScript", 19, 0, 0, -1, 18
"/Users/loucadaviot/Desktop/crfm/frontend/security/PageAccesRefuse.jsx", "JavaScript JSX", 0, 32, 0, 7, 39
"/Users/loucadaviot/Desktop/crfm/frontend/security/ProtectedRoute.jsx", "JavaScript JSX", 0, 21, 0, 7, 28
"/Users/loucadaviot/Desktop/crfm/frontend/src/App.jsx", "JavaScript JSX", 0, 5, 0, 1, 6
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/missionsDetail.jsx", "JavaScript JSX", 0, 228, -4, 73, 297
"Total", "-", 19, 286, -4, 88, 389
