"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/crfm/backend/controller/missions.controller.js", "JavaScript", 11, 0, 0, 8, 19
"/Users/loucadaviot/Desktop/crfm/backend/models/user.model.js", "JavaScript", 5, 0, 0, 0, 5
"/Users/loucadaviot/Desktop/crfm/backend/routes/missions.routes.js", "JavaScript", 2, 0, 0, 6, 8
"/Users/loucadaviot/Desktop/crfm/backend/services/missions.service.js", "JavaScript", 212, 0, 62, 84, 358
"/Users/loucadaviot/Desktop/crfm/backend/services/user.service.js", "JavaScript", 12, 0, 7, 19, 38
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/api/missions.api.js", "JavaScript", 9, 0, 0, 3, 12
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/context/MissionsContext.jsx", "JavaScript JSX", 0, 164, 50, 88, 302
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/Creermissions1Admin.jsx", "JavaScript JSX", 0, 62, 9, 36, 107
"Total", "-", 251, 226, 128, 244, 849
