"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/crfm/backend/services/validation/missions-Access.service.js", "JavaScript", -17, 0, -2, 0, -19
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/compagnies/components/TableauCompagnie.jsx", "JavaScript JSX", 0, 16, 0, 3, 19
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/VisuelMissionsAdmin.jsx", "JavaScript JSX", 0, 16, 0, 3, 19
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/sections/pages/SectionsAdmin.jsx", "JavaScript JSX", 0, 16, 0, 3, 19
"Total", "-", -17, 48, -2, 9, 38
