"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/crfm/backend/migrations/20260722110000-align-relations-and-constraints.cjs", "JavaScript", -9, 0, 0, 0, -9
"/Users/loucadaviot/Desktop/crfm/backend/migrations/20260828130101-create-mission-oa.cjs", "JavaScript", 62, 0, 1, 9, 72
"/Users/loucadaviot/Desktop/crfm/backend/models/index.js", "JavaScript", 23, 0, 0, 5, 28
"/Users/loucadaviot/Desktop/crfm/backend/models/missionOA.model.js", "JavaScript", 34, 0, 0, 4, 38
"/Users/loucadaviot/Desktop/crfm/backend/services/missionUser.service.js", "JavaScript", 70, 0, 0, 10, 80
"/Users/loucadaviot/Desktop/crfm/backend/services/missions.service.js", "JavaScript", -977, 0, -219, -338, -1534
"/Users/loucadaviot/Desktop/crfm/backend/services/missionsConducteurs.service.js", "JavaScript", 409, 0, 70, 142, 621
"/Users/loucadaviot/Desktop/crfm/backend/services/missionsGroupes.service.js", "JavaScript", 386, 0, 69, 109, 564
"/Users/loucadaviot/Desktop/crfm/backend/services/missionsVehicules.service.js", "JavaScript", 287, 0, 88, 128, 503
"/Users/loucadaviot/Desktop/crfm/backend/services/validation/missions-commandement.service.js", "JavaScript", 236, 0, 31, 83, 350
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/CreerMissions4Admin.jsx", "JavaScript JSX", 0, 10, 3, 2, 15
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/missionsDetail.jsx", "JavaScript JSX", 0, 9, 0, 2, 11
"Total", "-", 521, 19, 43, 156, 739
