"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/crfm/backend/services/user.service.js", "JavaScript", 8, 0, 0, 0, 8
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/components/etape2/Etapes2Groupes.jsx", "JavaScript JSX", 0, 47, 0, 5, 52
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/hooks/useMissions2.js", "JavaScript", -2, 0, -24, -14, -40
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/CreerMissions2Admin.jsx", "JavaScript JSX", 0, 3, 0, 0, 3
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/CreerMissions5Admin.jsx", "JavaScript JSX", 0, 25, 11, 5, 41
"Total", "-", 6, 75, -13, -4, 64
