"filename", "language", "JavaScript JSX", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/crfm/frontend/src/App.jsx", "JavaScript JSX", 5, 0, 0, 5
"/Users/loucadaviot/Desktop/crfm/frontend/src/components/layout/admin/Sidebar.jsx", "JavaScript JSX", 6, 0, 0, 6
"/Users/loucadaviot/Desktop/crfm/frontend/src/components/ui/BoutonProfile.jsx", "JavaScript JSX", -57, -2, -10, -69
"/Users/loucadaviot/Desktop/crfm/frontend/src/components/ui/Navbar.jsx", "JavaScript JSX", 8, 0, 0, 8
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/auth/pages/PageAide.jsx", "JavaScript JSX", 538, 5, 126, 669
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/auth/pages/PageProfil.jsx", "JavaScript JSX", 234, -6, 52, 280
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/missionsDetail.jsx", "JavaScript JSX", -2, 0, 0, -2
"Total", "-", 732, -3, 168, 897
