"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/crfm/backend/controller/missionsEquipages.controller.js", "JavaScript", -59, 0, -7, -66
"/Users/loucadaviot/Desktop/crfm/backend/migrations/20260715053149-create-missions-equipages.cjs", "JavaScript", -48, -1, -7, -56
"/Users/loucadaviot/Desktop/crfm/backend/models/index.js", "JavaScript", -21, 0, -4, -25
"/Users/loucadaviot/Desktop/crfm/backend/models/missions-equipages.model.js", "JavaScript", -38, 0, -2, -40
"/Users/loucadaviot/Desktop/crfm/backend/routes/conducteur.routes.js", "JavaScript", 1, 0, 0, 1
"/Users/loucadaviot/Desktop/crfm/backend/routes/index.routes.js", "JavaScript", -2, 0, 0, -2
"/Users/loucadaviot/Desktop/crfm/backend/routes/missions.routes.js", "JavaScript", 1, 0, 0, 1
"/Users/loucadaviot/Desktop/crfm/backend/routes/missionsEquipages.routes.js", "JavaScript", -16, 0, -4, -20
"/Users/loucadaviot/Desktop/crfm/backend/services/missions.service.js", "JavaScript", 0, -11, -1, -12
"/Users/loucadaviot/Desktop/crfm/backend/services/missionsEquipages.service.js", "JavaScript", -136, 0, -19, -155
"/Users/loucadaviot/Desktop/crfm/backend/test/database.integration.test.js", "JavaScript", -4, 0, 0, -4
"Total", "-", -322, -12, -44, -378
