"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/crfm/backend/controller/missions.controller.js", "JavaScript", 5, 0, -5, 0
"/Users/loucadaviot/Desktop/crfm/backend/middlewares/auth.middleware.js", "JavaScript", -1, 0, -2, -3
"/Users/loucadaviot/Desktop/crfm/backend/routes/missionsGroupes.routes.js", "JavaScript", 1, 0, -1, 0
"/Users/loucadaviot/Desktop/crfm/backend/routes/missionsUsers.routes.js", "JavaScript", 1, 0, -1, 0
"/Users/loucadaviot/Desktop/crfm/backend/routes/missionsVehicules.routes.js", "JavaScript", 1, 0, 0, 1
"/Users/loucadaviot/Desktop/crfm/backend/routes/role.routes.js", "JavaScript", 1, 0, 0, 1
"/Users/loucadaviot/Desktop/crfm/backend/routes/sections.routes.js", "JavaScript", 1, 0, 0, 1
"/Users/loucadaviot/Desktop/crfm/backend/routes/user.routes.js", "JavaScript", 1, 0, 1, 2
"/Users/loucadaviot/Desktop/crfm/backend/routes/vehicules.routes.js", "JavaScript", 1, 0, 0, 1
"/Users/loucadaviot/Desktop/crfm/backend/services/missions.service.js", "JavaScript", 11, -47, -2, -38
"/Users/loucadaviot/Desktop/crfm/backend/services/validation/missions-Access.service.js", "JavaScript", 184, 17, 33, 234
"Total", "-", 206, -30, 23, 199
