"filename", "language", "JavaScript", "JSON", "HTML", "JSON with Comments", "JavaScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/crfm/backend/models/missionsUsers.model.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 3, 53
"/Users/loucadaviot/Desktop/crfm/backend/models/missionsVehicule.model.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 3, 79
"/Users/loucadaviot/Desktop/crfm/backend/models/missionsVehiculesPlein.model.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 3, 51
"/Users/loucadaviot/Desktop/crfm/backend/models/missionsVehiculesReleve.model.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 3, 69
"/Users/loucadaviot/Desktop/crfm/backend/models/roles.model.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/Users/loucadaviot/Desktop/crfm/backend/models/sections.model.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 3, 44
"/Users/loucadaviot/Desktop/crfm/backend/models/user.model.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 5, 89
"/Users/loucadaviot/Desktop/crfm/backend/models/userToken.model.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/Users/loucadaviot/Desktop/crfm/backend/models/vehicule.model.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 3, 62
"/Users/loucadaviot/Desktop/crfm/backend/models/vehicules-types.model.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 3, 49
"/Users/loucadaviot/Desktop/crfm/backend/package-lock.json", "JSON", 0, 9767, 0, 0, 0, 0, 0, 0, 1, 9768
"/Users/loucadaviot/Desktop/crfm/backend/package.json", "JSON", 0, 58, 0, 0, 0, 0, 0, 0, 1, 59
"/Users/loucadaviot/Desktop/crfm/backend/routes/auth.routes.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 9, 44
"/Users/loucadaviot/Desktop/crfm/backend/routes/carburant.routes.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/loucadaviot/Desktop/crfm/backend/routes/compagnie.routes.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/loucadaviot/Desktop/crfm/backend/routes/conducteur.routes.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 8, 50
"/Users/loucadaviot/Desktop/crfm/backend/routes/index.routes.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/loucadaviot/Desktop/crfm/backend/routes/missions.routes.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 12, 82
"/Users/loucadaviot/Desktop/crfm/backend/routes/missionsGroupes.routes.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/Users/loucadaviot/Desktop/crfm/backend/routes/missionsUsers.routes.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 10, 73
"/Users/loucadaviot/Desktop/crfm/backend/routes/missionsVehicules.routes.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 8, 50
"/Users/loucadaviot/Desktop/crfm/backend/routes/role.routes.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/loucadaviot/Desktop/crfm/backend/routes/sections.routes.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 9, 58
"/Users/loucadaviot/Desktop/crfm/backend/routes/typeVehicules.routes.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 7, 49
"/Users/loucadaviot/Desktop/crfm/backend/routes/user.routes.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 12, 82
"/Users/loucadaviot/Desktop/crfm/backend/routes/vehicules.routes.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 10, 66
"/Users/loucadaviot/Desktop/crfm/backend/scripts/import-cartes-carburant.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 3, 13, 59
"/Users/loucadaviot/Desktop/crfm/backend/scripts/import-personnels.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 13, 45, 186
"/Users/loucadaviot/Desktop/crfm/backend/seeders/20260720075121-create-roles.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 2, 52
"/Users/loucadaviot/Desktop/crfm/backend/seeders/20260720075122-create-compagnies.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 2, 87
"/Users/loucadaviot/Desktop/crfm/backend/seeders/20260720075123-create-sections.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 2, 9, 82
"/Users/loucadaviot/Desktop/crfm/backend/seeders/20260720075128-create-vehicules-types.js", "JavaScript", 338, 0, 0, 0, 0, 0, 0, 1, 5, 344
"/Users/loucadaviot/Desktop/crfm/backend/seeders/20260720075129-create-vehicules.js", "JavaScript", 358, 0, 0, 0, 0, 0, 0, 10, 64, 432
"/Users/loucadaviot/Desktop/crfm/backend/seeders/20260720075130-create-missions.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 16, 3, 26
"/Users/loucadaviot/Desktop/crfm/backend/seeders/20260720075131-create-section-missions.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 16, 3, 26
"/Users/loucadaviot/Desktop/crfm/backend/seeders/20260720075132-create-missions-users.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 16, 3, 26
"/Users/loucadaviot/Desktop/crfm/backend/seeders/20260720075133-create-missions-vehicules.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 16, 3, 26
"/Users/loucadaviot/Desktop/crfm/backend/seeders/20260720075134-create-missions-equipages.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 16, 3, 26
"/Users/loucadaviot/Desktop/crfm/backend/services/auth.service.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 6, 63
"/Users/loucadaviot/Desktop/crfm/backend/services/carburant.service.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/loucadaviot/Desktop/crfm/backend/services/compagnie.service.js", "JavaScript", 174, 0, 0, 0, 0, 0, 0, 0, 17, 191
"/Users/loucadaviot/Desktop/crfm/backend/services/conducteur.service.js", "JavaScript", 385, 0, 0, 0, 0, 0, 0, 0, 70, 455
"/Users/loucadaviot/Desktop/crfm/backend/services/missionUser.service.js", "JavaScript", 294, 0, 0, 0, 0, 0, 0, 0, 46, 340
"/Users/loucadaviot/Desktop/crfm/backend/services/missions.service.js", "JavaScript", 794, 0, 0, 0, 0, 0, 0, 99, 222, 1115
"/Users/loucadaviot/Desktop/crfm/backend/services/missionsConducteurs.service.js", "JavaScript", 409, 0, 0, 0, 0, 0, 0, 65, 142, 616
"/Users/loucadaviot/Desktop/crfm/backend/services/missionsGroupes.service.js", "JavaScript", 415, 0, 0, 0, 0, 0, 0, 69, 120, 604
"/Users/loucadaviot/Desktop/crfm/backend/services/missionsVehicules.service.js", "JavaScript", 454, 0, 0, 0, 0, 0, 0, 88, 155, 697
"/Users/loucadaviot/Desktop/crfm/backend/services/role.service.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/loucadaviot/Desktop/crfm/backend/services/section.service.js", "JavaScript", 186, 0, 0, 0, 0, 0, 0, 0, 32, 218
"/Users/loucadaviot/Desktop/crfm/backend/services/typeVehicules.service.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 0, 29, 139
"/Users/loucadaviot/Desktop/crfm/backend/services/user.service.js", "JavaScript", 642, 0, 0, 0, 0, 0, 0, 42, 162, 846
"/Users/loucadaviot/Desktop/crfm/backend/services/validation/missions-Access.service.js", "JavaScript", 204, 0, 0, 0, 0, 0, 0, 25, 38, 267
"/Users/loucadaviot/Desktop/crfm/backend/services/validation/missions-commandement.service.js", "JavaScript", 236, 0, 0, 0, 0, 0, 0, 31, 83, 350
"/Users/loucadaviot/Desktop/crfm/backend/services/vehicule.service.js", "JavaScript", 193, 0, 0, 0, 0, 0, 0, 0, 38, 231
"/Users/loucadaviot/Desktop/crfm/backend/src/app.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 7, 11, 63
"/Users/loucadaviot/Desktop/crfm/backend/src/server.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/loucadaviot/Desktop/crfm/backend/test/database.integration.test.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 6, 67
"/Users/loucadaviot/Desktop/crfm/backend/test/model-and-service.test.js", "JavaScript", 282, 0, 0, 0, 0, 0, 0, 0, 33, 315
"/Users/loucadaviot/Desktop/crfm/backend/utils/httpError.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/loucadaviot/Desktop/crfm/backend/utils/jwt.util.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"/Users/loucadaviot/Desktop/crfm/frontend/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 9, 0, 8, 17
"/Users/loucadaviot/Desktop/crfm/frontend/components.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/loucadaviot/Desktop/crfm/frontend/eslint.config.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/loucadaviot/Desktop/crfm/frontend/index.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 9, 29
"/Users/loucadaviot/Desktop/crfm/frontend/jsconfig.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"/Users/loucadaviot/Desktop/crfm/frontend/package-lock.json", "JSON", 0, 10783, 0, 0, 0, 0, 0, 0, 1, 10784
"/Users/loucadaviot/Desktop/crfm/frontend/package.json", "JSON", 0, 49, 0, 0, 0, 0, 0, 0, 1, 50
"/Users/loucadaviot/Desktop/crfm/frontend/security/PageAccesRefuse.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 7, 39
"/Users/loucadaviot/Desktop/crfm/frontend/security/ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 1, 11, 41
"/Users/loucadaviot/Desktop/crfm/frontend/src/App.jsx", "JavaScript JSX", 0, 0, 0, 0, 227, 0, 0, 9, 8, 244
"/Users/loucadaviot/Desktop/crfm/frontend/src/api/apiClient.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 20, 61
"/Users/loucadaviot/Desktop/crfm/frontend/src/components/layout/MainLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 114, 0, 0, 4, 20, 138
"/Users/loucadaviot/Desktop/crfm/frontend/src/components/layout/admin/Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 82, 0, 0, 3, 14, 99
"/Users/loucadaviot/Desktop/crfm/frontend/src/components/ui/BoutonProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 165, 0, 0, 11, 33, 209
"/Users/loucadaviot/Desktop/crfm/frontend/src/components/ui/Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 0, 0, 7, 88
"/Users/loucadaviot/Desktop/crfm/frontend/src/components/ui/button.jsx", "JavaScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 5, 56
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/auth/api/auth.service.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/auth/hooks/useAuth.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 7, 33
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/auth/pages/PageAide.jsx", "JavaScript JSX", 0, 0, 0, 0, 538, 0, 0, 5, 126, 669
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/auth/pages/PageConnexion.jsx", "JavaScript JSX", 0, 0, 0, 0, 102, 0, 0, 2, 19, 123
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/auth/pages/PageProfil.jsx", "JavaScript JSX", 0, 0, 0, 0, 627, 0, 0, 0, 134, 761
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/compagnies/api/compagnies.api.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/compagnies/components/TableauCompagnie.jsx", "JavaScript JSX", 0, 0, 0, 0, 480, 0, 0, 0, 62, 542
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/compagnies/hooks/useCompagnies.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/compagnies/pages/CompagniesAdmin.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/conducteur/api/conducteur.api.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 7, 46
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/conducteur/components/CarteCarburant.jsx", "JavaScript JSX", 0, 0, 0, 0, 166, 0, 0, 3, 28, 197
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/conducteur/components/ConducteurMobileLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 5, 46
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/conducteur/components/PleinForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 140, 0, 0, 7, 19, 166
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/conducteur/components/PleinsHistorique.jsx", "JavaScript JSX", 0, 0, 0, 0, 65, 0, 0, 3, 8, 76
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/conducteur/components/ReleveForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 255, 0, 0, 8, 39, 302
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/conducteur/components/VehiculeMissionCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 91, 0, 0, 3, 12, 106
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/conducteur/pages/ConducteurVehiculeDetailPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 310, 0, 0, 11, 56, 377
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/conducteur/pages/ConducteurVehiculesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 136, 0, 0, 0, 17, 153
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/conducteur/utils/conducteur.utils.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 21, 105
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/api/missions.api.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 2, 19, 129
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/components/etape2/Etapes2Compagnies.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 6, 68
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/components/etape2/Etapes2Groupes.jsx", "JavaScript JSX", 0, 0, 0, 0, 138, 0, 0, 0, 15, 153
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/components/etape2/Etapes2Personnel.jsx", "JavaScript JSX", 0, 0, 0, 0, 151, 0, 0, 0, 15, 166
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/components/etape2/Etapes2Sections.jsx", "JavaScript JSX", 0, 0, 0, 0, 99, 0, 0, 0, 9, 108
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/components/etape4/Etapes4CompagnieVehicules.jsx", "JavaScript JSX", 0, 0, 0, 0, 179, 0, 0, 2, 25, 206
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/context/MissionsContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 698, 0, 0, 150, 207, 1055
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/context/MissionsContextValue.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/context/useMission.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/hooks/useCompagniesMissions2.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 22, 124
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/hooks/useGroupesMissions2.js", "JavaScript", 579, 0, 0, 0, 0, 0, 0, 56, 106, 741
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/hooks/useMissionCommandement.js", "JavaScript", 455, 0, 0, 0, 0, 0, 0, 90, 116, 661
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/hooks/useMissions.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 10, 58
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/hooks/useMissions2.js", "JavaScript", 257, 0, 0, 0, 0, 0, 0, 96, 54, 407
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/hooks/useMissionsVehicules.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 46, 31, 160
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/hooks/usePersonnelMissions2.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 11, 18, 156
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/CreerMissions2Admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 227, 0, 0, 16, 53, 296
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/CreerMissions3Admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 439, 0, 0, 79, 95, 613
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/CreerMissions4Admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 196, 0, 0, 41, 46, 283
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/CreerMissions5Admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 380, 0, 0, 10, 62, 452
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/CreerMissions6Admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 572, 0, 0, 70, 132, 774
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/Creermissions1Admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 260, 0, 0, 15, 52, 327
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/VisuelMissionsAdmin.jsx", "JavaScript JSX", 0, 0, 0, 0, 476, 0, 0, 16, 84, 576
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/missionsDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 1186, 0, 0, 51, 327, 1564
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/services/personnel.service.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/utils/compagnies.utils.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/utils/groupes.utils.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/utils/missionDraftStorage.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/utils/personnel.utils.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 11, 32
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/utils/vehicules.utils.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/sections/api/sections.api.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
