"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/crfm/backend/routes/auth.routes.js", "JavaScript", 0, 0, 0, -1, -1
"/Users/loucadaviot/Desktop/crfm/frontend/src/App.jsx", "JavaScript JSX", 0, 2, 0, 2, 4
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/auth/api/auth.service.js", "JavaScript", 8, 0, 0, 2, 10
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/auth/hooks/useAuth.js", "JavaScript", 27, 0, 0, 8, 35
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/auth/pages/PageConnexion.jsx", "JavaScript JSX", 0, 60, 0, 5, 65
"Total", "-", 35, 62, 0, 16, 113
