"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/crfm/backend/seeders/20260720075125-create-users-test.js", "JavaScript", 3, 0, 0, 0, 3
"/Users/loucadaviot/Desktop/crfm/backend/services/missions.service.js", "JavaScript", 52, 0, 12, 6, 70
"/Users/loucadaviot/Desktop/crfm/backend/services/validation/missions-Access.service.js", "JavaScript", 3, 0, 0, -1, 2
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/components/etape2/Etapes2Groupes.jsx", "JavaScript JSX", 0, 10, 0, 1, 11
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/CreerMissions2Admin.jsx", "JavaScript JSX", 0, 2, 0, 19, 21
"Total", "-", 58, 12, 12, 25, 107
