"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/crfm/backend/controller/missions.controller.js", "JavaScript", 6, 0, 0, 2, 8
"/Users/loucadaviot/Desktop/crfm/backend/services/missions.service.js", "JavaScript", 55, 0, -6, -4, 45
"/Users/loucadaviot/Desktop/crfm/backend/services/user.service.js", "JavaScript", -12, 0, -7, -19, -38
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/api/missions.api.js", "JavaScript", 2, 0, 0, 0, 2
"/Users/loucadaviot/Desktop/crfm/frontend/src/features/missions/pages/CreerMissions4Admin.jsx", "JavaScript JSX", 0, 540, 40, 81, 661
"Total", "-", 51, 540, 27, 60, 678
